filename,correction


#leap correction
pse.a11.1.16.S11.3.1969.231.22_57_53_001000.csv.gz,0.6

pse.a12.4.6.S12.14.1971.120.04_07_00_105000.csv.gz,1.0
pse.a12.4.6.S12.14.1971.120.06_35_05_461000.csv.gz,1.0
pse.a12.4.6.S12.14.1971.120.09_09_56_541000.csv.gz,1.0
pse.a12.4.6.S12.14.1971.120.09_16_01_205000.csv.gz,1.0
pse.a12.4.6.S12.14.1971.120.09_46_17_280000.csv.gz,1.0

pse.a14.1.114.S14.12.1971.149.21_28_03_837000.csv.gz,-2.0

pse.a14.1.114.S14.12.1971.150.00_00_00_221000.csv.gz,-2.0
pse.a14.1.115.S14.12.1971.150.22_40_24_503000.csv.gz,-2.0

pse.a14.1.115.S14.12.1971.151.00_00_00_040000.csv.gz,-2.0
pse.a14.1.115.S14.12.1971.151.01_13_17_639000.csv.gz,-2.0
pse.a14.1.115.S14.12.1971.151.03_11_48_425000.csv.gz,-2.0


pse.a14.1.149.S14.6.1971.185.01_25_26_071000.csv.gz,-4.0
pse.a14.1.149.S14.6.1971.185.01_30_30_351000.csv.gz,-4.0
pse.a14.1.149.S14.6.1971.185.01_38_32_733000.csv.gz,-4.0
pse.a14.1.149.S14.6.1971.185.01_41_15_135000.csv.gz,-4.0

pse.a14.1.166.S14.5.1971.201.23_25_25_216000.csv.gz,-2.0

pse.a14.1.166.S14.5.1971.202.00_00_00_246000.csv.gz,-2.0
pse.a14.1.166.S14.5.1971.202.01_13_25_083000.csv.gz,-2.0
pse.a14.1.166.S14.5.1971.202.01_57_08_304000.csv.gz,-2.0

pse.a12.5.155.S12.14.1972.096.18_16_29_042000.csv.gz,1.0

pse.a12.5.155.S12.14.1972.097.00_00_00_081000.csv.gz,1.0

pse.a12.6.126.S12.14.1972.357.14_34_56_177000.csv.gz,1.0
pse.a12.6.126.S12.14.1972.357.17_09_49_156000.csv.gz,1.0
pse.a12.6.126.S12.14.1972.357.19_10_39_639000.csv.gz,1.0
pse.a12.6.126.S12.14.1972.357.20_08_27_000000.csv.gz,1.0

pse.a14.3.69.S14.14.1972.096.18_16_36_062000.csv.gz,1.0

pse.a14.3.69.S14.14.1972.097.00_00_00_208000.csv.gz,1.0

pse.a15.1.157.S15.2.1972.002.21_32_21_873000.csv.gz,-0.8

pse.a15.1.157.S15.2.1972.003.00_00_00_548000.csv.gz,-0.8

pse.a15.2.69.S15.14.1972.096.18_16_22_557000.csv.gz,1.0
pse.a15.2.70.S15.14.1972.096.18_52_00_422000.csv.gz,1.0

