filename,comment


# new section
pse.a12.7.10.S12.11.1973.166.09_37_00_724000.csv.gz,"another station"

pse.a12.7.164.S12.2.1973.320.00_26_54_631000.csv.gz,"damaged data"



pse.a16.2.172.S16.3.1973.087.20_20_00_192000.csv.gz,"timing wrong somewhere in this section"

pse.a16.2.172.S16.3.1973.088.00_00_00_416114.csv.gz,"a lot of empty records"

pse.a16.3.1.S16.3.1973.094.00_00_00_496483.csv.gz,"timing wrong somewhere in this section"

pse.a16.3.2.S16.9.1973.095.12_04_42_847000.csv.gz,"another station"
pse.a16.3.2.S16.9.1973.095.12_11_01_996000.csv.gz,"another station"


pse.a12.7.243.S12.13.1974.032.15_45_25_316000.csv.gz,"another station"
pse.a12.8.168.S12.0.1974.247.07_25_35_116000.csv.gz,"S14"
pse.a12.8.188.S12.-1.1974.267.10_17_38_204000.csv.gz,"damaged"
pse.a12.8.190.S12.12.1974.269.06_59_18_091000.csv.gz,"S15"
pse.a12.8.214.S12.2.1974.292.10_13_23_350000.csv.gz,"S15"




pse.a14.7.62.S14.9.1974.062.14_35_24_851000.csv.gz,"timing wrong somewhere in this section"
pse.a14.7.136.S14.2.1974.135.01_51_23_656000.csv.gz,"S15"
pse.a14.7.150.S14.12.1974.149.21_59_29_714000.csv.gz,"S16"
pse.a14.7.179.S14.2.1974.178.13_45_59_413000.csv.gz,"S15"
pse.a14.7.179.S14.2.1974.178.13_54_48_911000.csv.gz,"S15"
pse.a14.8.141.S14.12.1974.320.19_29_38_826000.csv.gz,"another station or just invalid"


pse.a15.6.168.S15.12.1974.167.11_03_26_865000.csv.gz,"S12"
pse.a15.7.88.S15.15.1974.267.10_17_51_853000.csv.gz,"S14"

pse.a16.5.37.S16.3.1974.123.15_58_30_103000.csv.gz,"S14"

pse.a12.9.160.S12.2.1975.161.11_38_41_354000.csv.gz,"timing wrong somewhere in this section"

pse.a14.9.43.S14.12.1975.037.16_24_52_368000.csv.gz,"S16"

pse.a14.9.142.S14.12.1975.140.06_10_06_502000.csv.gz,"timing wrong somewhere in this section"

pse.a14.10.45.S14.12.1975.219.16_52_43_571000.csv.gz,"S16"

pse.a16.7.81.S16.12.1975.156.11_11_03_179000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.11_16_08_676000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.11_20_12_588000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.11_35_58_054000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.11_52_17_331000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.11_59_40_479000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.12_18_18_015000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.12_33_06_729000.csv.gz,"S12"
pse.a16.7.81.S16.12.1975.156.12_54_56_253000.csv.gz,"S12"
pse.a16.7.81.S16.4.1975.156.13_32_37_896000.csv.gz,"S12"

pse.a16.5.100.S16.13.1974.186.05_06_58_646000.csv.gz,"S12"

pse.a16.8.105.S16.4.1975.355.11_06_19_518000.csv.gz,"S12"
pse.a16.8.105.S16.4.1975.355.11_11_40_115000.csv.gz,"S12"
pse.a16.8.105.S16.4.1975.355.11_17_52_636000.csv.gz,"S12"

#### 1976 S12

pse.a12.10.114.S12.1.1976.037.22_27_39_962000.csv.gz,"S16"

pse.a12.10.126.S12.13.1976.049.00_00_00_063000.csv.gz,"S16"

wtn.7.3.S12.11.1976.227.08_25_18_496000.csv.gz,"damaged data"



wtn.9.12.S12.6.1976.296.00_05_44_446000.csv.gz,"duplicate trace"
wtn.9.12.S12.6.1976.296.01_08_56_213000.csv.gz,"duplicate trace"
wtn.9.12.S12.6.1976.296.02_58_28_409000.csv.gz,"duplicate trace"
wtn.9.12.S12.7.1976.296.06_22_33_948000.csv.gz,"duplicate trace"
wtn.9.12.S12.7.1976.296.06_27_22_556000.csv.gz,"duplicate trace"
wtn.9.12.S12.7.1976.296.06_06_10_769000.csv.gz,"another station"
wtn.9.13.S12.7.1976.296.06_06_10_769000.csv.gz,"another station"
wtn.9.12.S12.6.1976.296.02_43_42_425000.csv.gz,"another station"
wtn.9.13.S12.6.1976.296.02_43_42_425000.csv.gz,"another station"

wtn.10.43.S12.6.1976.348.16_24_22_400000.csv.gz,"another station"

wtn.8.3.S16.5.1976.258.00_00_00_559000.csv.gz,"very short, difficult to correct timing for next section"

#### 1976 S14

wtn.5.27.S14.200.1976.189.21_23_12_583000.csv.gz,"nearly empty"

#### 1976 S15

pse.a15.10.59.S15.1.1976.037.22_27_45_395000.csv.gz,"S16"

wtn.1.32.S15.7.1976.074.18_01_58_979000.csv.gz,"S16"

wtn.2.29.S15.5.1976.101.10_07_59_769000.csv.gz,"not merging correctly"

wtn.9.18.S15.4.1976.300.00_39_28_451000.csv.gz,"not merging correctly"

wtn.10.31.S12.7.1976.341.17_35_33_895000.csv.gz,"not merging correctly"

wtn.9.9.S15.4.1976.293.14_24_56_385000.csv.gz,"not merging correctly"

#### 1976 S16

wtn.10.29.S16.7.1976.341.00_45_22_746000.csv.gz,"not merging correctly"

#### 1977 S12

wtn.19.29.S12.3.1977.224.14_36_37_526000.csv.gz,"doesn't fit with other observations"

wtn.15.11.S12.6.1977.118.10_39_16_117000.csv.gz,"damaged data"

#### 1977 S14

wtn.20.39.S14.7.1977.262.13_33_26_000000.csv.gz,"timing wrong somewhere in this section"
wtn.20.39.S14.7.1977.262.13_37_50_281000.csv.gz,"timing wrong somewhere in this section"

#### 1977 S15

wtn.13.23.S15.2.1977.063.07_03_53_039000.csv.gz,"S16"

#### 1977 S16

wtn.13.23.S16.2.1977.063.07_03_53_246000.csv.gz,"S15"

wtn.14.8.S15.7.1977.087.16_30_56_433000.csv.gz,"timing wrong somewhere in this section"

wtn.21.36.S15.8.1977.255.15_39_26_645000.csv.gz,"timing wrong somewhere in this section"

wtn.21.36.S16.8.1977.255.14_38_09_243000.csv.gz,"timing wrong somewhere in this section"
wtn.21.36.S16.8.1977.255.14_47_44_016000.csv.gz,"timing wrong somewhere in this section"
wtn.21.36.S16.8.1977.255.14_50_16_617000.csv.gz,"timing wrong somewhere in this section"


