t1,t2,station,channel,location
1973-05-14T00:00:00.465000Z,1973-05-14T23:59:42.955566Z,S16,SHZ,
1973-05-15T00:00:00.192000Z,1973-05-16T00:00:03.059925Z,S12,MHZ,00
1973-05-15T00:00:00.154000Z,1973-05-16T00:00:03.021925Z,S12,MH1,00
1973-05-15T00:00:00.173000Z,1973-05-16T00:00:03.040925Z,S12,MH2,00
1973-05-15T00:04:31.759849Z,1973-05-16T00:00:05.948528Z,S14,MH1,00
1973-05-15T00:04:31.778849Z,1973-05-16T00:00:05.967528Z,S14,MH2,00
1973-05-15T00:04:31.693849Z,1973-05-16T00:00:06.014604Z,S14,SHZ,
1973-05-15T00:03:29.226234Z,1973-05-16T00:00:04.999819Z,S15,MHZ,00
1973-05-15T00:03:29.188234Z,1973-05-16T00:00:04.961819Z,S15,MH1,00
1973-05-15T00:03:29.207234Z,1973-05-16T00:00:04.980819Z,S15,MH2,00
1973-05-15T00:03:29.122234Z,1973-05-16T00:00:05.027894Z,S15,SHZ,
1973-05-15T00:03:35.303817Z,1973-05-16T00:00:04.435892Z,S16,MHZ,00
1973-05-15T00:03:35.265817Z,1973-05-16T00:00:04.397892Z,S16,MH1,00
1973-05-15T00:03:35.284817Z,1973-05-16T00:00:04.416892Z,S16,MH2,00
1973-05-15T00:03:35.199817Z,1973-05-16T00:00:04.463968Z,S16,SHZ,
1973-05-16T00:00:00.497000Z,1973-05-17T00:00:02.761151Z,S12,MHZ,00
1973-05-16T00:00:00.459000Z,1973-05-17T00:00:02.723151Z,S12,MH1,00
1973-05-16T00:00:00.478000Z,1973-05-17T00:00:02.742151Z,S12,MH2,00
1973-05-16T00:00:00.174000Z,1973-05-17T00:00:06.060792Z,S14,MH1,00
1973-05-16T00:00:00.193000Z,1973-05-17T00:00:06.079792Z,S14,MH2,00
1973-05-16T00:00:00.108000Z,1973-05-17T00:00:06.126868Z,S14,SHZ,
1973-05-16T00:00:00.185000Z,1973-05-17T00:00:05.468019Z,S15,MHZ,00
1973-05-16T00:00:00.147000Z,1973-05-17T00:00:05.430019Z,S15,MH1,00
1973-05-16T00:00:00.166000Z,1973-05-17T00:00:05.449019Z,S15,MH2,00
1973-05-16T00:00:00.081000Z,1973-05-17T00:00:05.496094Z,S15,SHZ,
1973-05-16T00:00:00.230000Z,1973-05-17T00:00:04.909245Z,S16,MHZ,00
1973-05-16T00:00:00.192000Z,1973-05-17T00:00:04.871245Z,S16,MH1,00
1973-05-16T00:00:00.211000Z,1973-05-17T00:00:04.890245Z,S16,MH2,00
1973-05-16T00:00:00.126000Z,1973-05-17T00:00:04.937321Z,S16,SHZ,
1973-05-17T00:00:00.158000Z,1973-05-18T00:00:03.025925Z,S12,MHZ,00
1973-05-17T00:00:00.120000Z,1973-05-18T00:00:02.987925Z,S12,MH1,00
1973-05-17T00:00:00.139000Z,1973-05-18T00:00:03.006925Z,S12,MH2,00
1973-05-17T00:00:00.557000Z,1973-05-18T00:00:05.840019Z,S14,MH1,00
1973-05-17T00:00:00.576000Z,1973-05-18T00:00:05.859019Z,S14,MH2,00
1973-05-17T00:00:00.491000Z,1973-05-18T00:00:05.906094Z,S14,SHZ,
1973-05-17T00:00:00.664000Z,1973-05-17T22:56:47.607396Z,S15,MHZ,00
1973-05-17T00:00:00.626000Z,1973-05-17T22:56:47.569396Z,S15,MH1,00
1973-05-17T00:00:00.645000Z,1973-05-17T22:56:47.588396Z,S15,MH2,00
1973-05-17T00:00:00.560000Z,1973-05-17T22:56:47.635472Z,S15,SHZ,
1973-05-17T00:00:00.712000Z,1973-05-17T23:59:58.145962Z,S16,MHZ,00
1973-05-17T00:00:00.674000Z,1973-05-17T23:59:58.107962Z,S16,MH1,00
